agent_code;cust_city;payment_amt;phone_no;receive_amt;working_area;cust_name;grade;cust_code;cust_country;opening_amt;outstanding_amt
A008;New York;+0000006000.00;BBBBSBB;+0000007000.00;New York;Albert;+0000000003.;C00020;USA;+0000005000.00;+0000006000.00
A003;London;+0000007000.00;BBBBBBB;+0000005000.00;London;Holmes;+0000000002.;C00013;UK;+0000006000.00;+0000004000.00
A011;Bangalore;+0000004000.00;AVAVAVA;+0000007000.00;Bangalore;Ravindran;+0000000002.;C00025;India;+0000005000.00;+0000008000.00
A006;London;+0000007000.00;FSDDSDF;+0000009000.00;London;Cook;+0000000002.;C00024;UK;+0000004000.00;+0000006000.00
A003;London;+0000003000.00;GFSGERS;+0000008000.00;London;Stuart;+0000000001.;C00015;UK;+0000006000.00;+0000011000.00
A008;New York;+0000009000.00;DDNRDRH;+0000007000.00;New York;Bolt;+0000000003.;C00002;USA;+0000005000.00;+0000003000.00
A005;Brisban;+0000009000.00;NHBGVFC;+0000007000.00;Brisban;Fleming;+0000000002.;C00018;Australia;+0000007000.00;+0000005000.00
A010;Chennai;+0000007000.00;ZZZZBFV;+0000007000.00;Chennai;Yearannaidu;+0000000001.;C00019;India;+0000008000.00;+0000008000.00
A002;Mumbai;+0000007000.00;147-25896312;+0000011000.00;Mumbai;Sasikant;+0000000001.;C00005;India;+0000007000.00;+0000011000.00
A002;Mumbai;+0000009000.00;113-12345678;+0000011000.00;Mumbai;Avinash;+0000000002.;C00022;India;+0000007000.00;+0000009000.00
A006;London;+0000007000.00;AAAABAA;+0000006000.00;London;Karl;+0000000000.;C00023;UK;+0000004000.00;+0000003000.00
A009;Hampshair;+0000005000.00;MMMMMMM;+0000004000.00;Hampshair;Charles;+0000000003.;C00010;UK;+0000006000.00;+0000005000.00
A012;San Jose;+0000009000.00;KRFYGJK;+0000007000.00;San Jose;Steven;+0000000001.;C00012;USA;+0000005000.00;+0000003000.00
A004;Torento;+0000007000.00;MJYURFD;+0000007000.00;Torento;Martin;+0000000002.;C00003;Canada;+0000008000.00;+0000008000.00
A002;Mumbai;+0000003000.00;Phone No;+0000007000.00;Mumbai;Ramesh;+0000000003.;C00009;India;+0000008000.00;+0000012000.00
A007;Bangalore;+0000007000.00;JRTVFDD;+0000011000.00;Bangalore;Venkatpati;+0000000002.;C00016;India;+0000008000.00;+0000012000.00
A008;New York;+0000002000.00;CCCCCCC;+0000005000.00;New York;Micheal;+0000000002.;C00001;USA;+0000003000.00;+0000006000.00
A005;Brisban;+0000007000.00;WERTGDF;+0000007000.00;Brisban;Jacks;+0000000001.;C00021;Australia;+0000007000.00;+0000007000.00
A010;Chennai;+0000009000.00;GHRDWSD;+0000011000.00;Chennai;Ramanathan;+0000000001.;C00007;India;+0000007000.00;+0000009000.00
A005;Brisban;+0000007000.00;AAAAAAA;+0000008000.00;Brisban;Winston;+0000000001.;C00004;Australia;+0000005000.00;+0000006000.00
A004;Torento;+0000006000.00;DDDDDDD;+0000007000.00;Torento;Shilton;+0000000001.;C00006;Canada;+0000010000.00;+0000011000.00
A007;Bangalore;+0000003000.00;AAAAAAB;+0000004000.00;Bangalore;Srinivas;+0000000002.;C00017;India;+0000008000.00;+0000009000.00
A004;Torento;+0000009000.00;HJKORED;+0000007000.00;Torento;Karolina;+0000000001.;C00008;Canada;+0000007000.00;+0000005000.00
A001;Bangalore;+0000007000.00;AAAATGF;+0000011000.00;Bangalore;Rangarappa;+0000000002.;C00014;India;+0000008000.00;+0000012000.00
A010;Chennai;+0000007000.00;PPHGRTS;+0000011000.00;Chennai;Sundariya;+0000000003.;C00011;India;+0000007000.00;+0000011000.00
